transaction_id,product,category,quantity,unit_price,item_total,rating
TXN10000,Chocolate Chip Cookies,Bakery,2,4.42,8.84,3.3
TXN10000,Bagels (6-pack),Bakery,3,8.5,25.5,3.2
TXN10001,Cheddar Cheese Block,Dairy,2,21.54,43.08,3.6
TXN10001,Pork Chops,Meat,2,4.85,9.7,3.4
TXN10001,Chocolate Bar,Snacks,1,9.87,9.87,4.4
TXN10001,Blueberry Muffins,Bakery,2,4.83,9.66,4.5
TXN10001,Chocolate Bar,Snacks,1,7.37,7.37,3.3
TXN10001,Pork Chops,Meat,1,34.02,34.02,4.6
TXN10001,Laundry Detergent,Household,2,14.69,29.38,3.5
TXN10002,Carrots,Produce,1,22.41,22.41,3.9
TXN10002,Green Tea,Beverages,2,9.36,18.72,4.5
TXN10002,Cheddar Cheese Block,Dairy,2,25.0,50.0,3.8
TXN10002,Bagels (6-pack),Bakery,3,31.69,95.07,4.6
TXN10002,Mixed Nuts,Snacks,2,23.39,46.78,4.6
TXN10002,Ice Cream,Frozen,1,9.88,9.88,4.4
TXN10003,Frozen Pizza,Frozen,1,23.15,23.15,3.4
TXN10003,Romaine Lettuce,Produce,2,18.69,37.38,3.8
TXN10004,Spring Water,Beverages,2,5.11,10.22,3.5
TXN10004,Greek Yogurt,Dairy,1,30.66,30.66,4.0
TXN10004,Croissants,Bakery,3,26.84,80.52,4.2
TXN10004,Tomatoes,Produce,3,26.84,80.52,4.7
TXN10004,Vanilla Ice Cream,Dairy,1,11.07,11.07,3.4
TXN10004,Crackers,Snacks,1,9.99,9.99,4.6
TXN10005,Frozen Desserts,Frozen,3,7.6,22.8,4.6
TXN10005,Hand Soap,Household,3,29.4,88.2,4.3
TXN10006,Croissants,Bakery,3,2.58,7.74,3.6
TXN10006,Chicken Breast,Meat,3,3.98,11.94,3.3
TXN10007,Bacon,Meat,3,5.97,17.91,4.1
TXN10007,Salmon Fillet,Meat,1,24.6,24.6,3.4
TXN10007,Laundry Detergent,Household,2,15.93,31.86,4.6
TXN10007,Organic Whole Milk,Dairy,3,3.69,11.07,3.7
TXN10008,Coffee Beans,Beverages,1,8.98,8.98,3.9
TXN10008,Whole Wheat Bread,Bakery,3,23.29,69.87,4.5
TXN10009,Cheddar Cheese Block,Dairy,2,12.6,25.2,3.6
TXN10009,Frozen Vegetables,Frozen,3,15.9,47.7,4.8
TXN10009,Ice Cream,Frozen,1,8.41,8.41,4.7
TXN10009,Greek Yogurt,Dairy,3,3.77,11.31,4.0
TXN10010,Salmon Fillet,Meat,3,5.35,16.05,3.6
TXN10011,Cola Soda,Beverages,2,20.74,41.48,3.6
TXN10011,Hand Soap,Household,2,20.8,41.6,3.9
TXN10011,Whole Wheat Bread,Bakery,3,17.04,51.12,4.8
TXN10012,Pork Chops,Meat,2,11.47,22.94,4.5
TXN10013,Bagels (6-pack),Bakery,1,9.87,9.87,4.4
TXN10013,Tomatoes,Produce,1,10.37,10.37,4.3
